epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
78,3601.06,0.63807,0.97608,1.15239,0.72177,0.63051,0.71401,0.50648,0.6792,0.81553,0.96288,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,3837.79,0.64472,0.99146,1.15787,0.74216,0.60946,0.70838,0.50493,0.67643,0.81345,0.95995,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,4068.01,0.64522,0.98934,1.16096,0.75326,0.60591,0.71301,0.50935,0.67642,0.8141,0.95953,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,4313.37,0.64479,0.99437,1.15971,0.72212,0.64244,0.71102,0.51031,0.67192,0.8121,0.95524,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,4561.04,0.63925,0.9807,1.15391,0.7418,0.63061,0.72002,0.51478,0.6704,0.80772,0.95284,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,4810.22,0.63869,0.98889,1.15248,0.77372,0.62742,0.72485,0.51951,0.66406,0.80291,0.94905,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,5058.9,0.63172,0.96634,1.14594,0.77411,0.62669,0.73335,0.52777,0.66276,0.79373,0.94766,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,5302.04,0.63659,0.97237,1.15106,0.79276,0.62623,0.72995,0.5274,0.66206,0.78893,0.94705,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,5535.9,0.63466,0.96822,1.15099,0.80258,0.62315,0.73516,0.52935,0.6625,0.78495,0.94729,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,5773.48,0.63229,0.96373,1.14953,0.79395,0.62961,0.74044,0.53177,0.66031,0.78481,0.94628,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,6009.47,0.62919,0.95538,1.14919,0.77333,0.63038,0.74566,0.53461,0.65674,0.77987,0.94441,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,6245.86,0.62368,0.95372,1.14245,0.77541,0.62823,0.74377,0.53545,0.65459,0.77738,0.94201,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,6480.35,0.62579,0.95125,1.14787,0.73483,0.65398,0.74487,0.53791,0.65536,0.77299,0.94116,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,6713.28,0.6661,0.89914,1.18911,0.75958,0.64353,0.74456,0.54018,0.65089,0.77049,0.93635,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,6941.52,0.65884,0.87199,1.1823,0.76151,0.64946,0.74773,0.54525,0.64775,0.76523,0.93369,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,7169.5,0.65445,0.86271,1.17911,0.76451,0.6607,0.75481,0.55202,0.64501,0.75736,0.93109,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
